Status,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Tuition_fees_up_to_date,Scholarship_holder,Age_at_enrollment,Application_mode,Debtor,Gender,Course,Curricular_units_2nd_sem_enrolled,Mothers_qualification,Admission_grade,Displaced,Curricular_units_2nd_sem_evaluations,Marital_status,Previous_qualification_grade,Mothers_occupation,Curricular_units_2nd_sem_without_evaluations,GDP,Age_grouped,Admission_grade_grouped,Curricular_units_2nd_sem_grade_grouped,Previous_qualification_grade_grouped
Dropout,2,10.0,1,0,18,1 - 1st phase - general contingent,0,0,9147 - Management,5,1 - Secondary Education - 12th Year of Schooling or Eq.,130.1,1,13,1 – single,135.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-3.12,17-20,131-140,9-12,131-140
Dropout,2,10.0,1,0,38,43 - Change of course,0,0,9991 - Management (evening attendance),10,37 - Basic education 1st cycle (4th/5th year) or equiv.,110.0,1,10,2 – married,130.0,9 - Unskilled Workers,0,0.32,31-40,111-120,9-12,131-140
Graduate,6,13.333333333333334,1,0,20,1 - 1st phase - general contingent,0,0,9070 - Communication Design,6,34 - Unknown,135.8,1,6,1 – single,147.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-3.12,17-20,131-140,12-15,141-150
Graduate,6,12.833333333333334,1,0,55,39 - Over 23 years old,0,0,8014 - Social Service (evening attendance),6,34 - Unknown,126.3,0,6,1 – single,149.0,0 - Student,0,0.32,51+,121-130,12-15,141-150
Dropout,16,13.0,1,0,53,Others,0,0,9070 - Communication Design,18,34 - Unknown,130.0,0,18,4 – divorced,130.0,0 - Student,0,0.32,51+,131-140,12-15,131-140
Dropout,5,12.6,1,0,54,39 - Over 23 years old,0,0,8014 - Social Service (evening attendance),6,34 - Unknown,104.0,0,12,2 – married,120.0,0 - Student,0,0.32,51+,101-110,12-15,121-130
Enrolled,5,12.86,1,1,18,43 - Change of course,0,0,9500 - Nursing,7,37 - Basic education 1st cycle (4th/5th year) or equiv.,123.6,1,8,1 – single,125.0,9 - Unskilled Workers,0,0.32,17-20,121-130,12-15,121-130
Dropout,4,12.0,0,0,44,39 - Over 23 years old,1,0,8014 - Social Service (evening attendance),7,37 - Basic education 1st cycle (4th/5th year) or equiv.,121.0,0,9,1 – single,133.1,9 - Unskilled Workers,2,3.51,41-50,121-130,12-15,131-140
Graduate,9,12.555555555555555,1,0,28,43 - Change of course,0,0,9238 - Social Service,11,37 - Basic education 1st cycle (4th/5th year) or equiv.,130.5,1,13,1 – single,149.0,9 - Unskilled Workers,0,1.74,26-30,131-140,12-15,141-150
Graduate,11,16.90909090909091,1,0,37,7 - Holders of other higher courses,0,0,8014 - Social Service (evening attendance),11,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,180.0,0,11,1 – single,180.0,9 - Unskilled Workers,0,3.51,31-40,>170,15-18,>170
Graduate,7,11.77777777777778,1,0,20,43 - Change of course,0,0,9238 - Social Service,7,Others,112.5,1,10,1 – single,110.0,90 - Other Situation,0,0.32,17-20,111-120,9-12,111-120
Enrolled,7,12.820000000000002,1,0,18,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,126.1,1,11,1 – single,131.0,3 - Intermediate Level Technicians and Professions,0,-4.06,17-20,121-130,12-15,131-140
Dropout,3,11.0,1,0,19,1 - 1st phase - general contingent,0,1,9238 - Social Service,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,111.8,1,12,1 – single,117.0,9 - Unskilled Workers,0,3.51,17-20,111-120,9-12,111-120
Graduate,13,12.923076923076923,1,1,23,17 - 2nd phase - general contingent,0,1,9003 - Agronomy,13,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,131.4,1,13,1 – single,120.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-4.06,21-25,131-140,12-15,121-130
Dropout,0,0.0,1,0,22,17 - 2nd phase - general contingent,0,1,9238 - Social Service,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,144.3,0,0,1 – single,160.0,"6 - Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",0,0.79,21-25,141-150,0-3,161-170
Dropout,0,0.0,0,0,24,39 - Over 23 years old,0,1,9254 - Tourism,6,3 - Higher Education - Degree,115.0,0,0,1 – single,100.0,3 - Intermediate Level Technicians and Professions,0,2.02,21-25,111-120,0-3,101-110
Enrolled,2,11.5,1,0,22,44 - Technological specialization diploma holders,0,1,9003 - Agronomy,6,4 - Higher Education - Master's,120.0,1,13,1 – single,140.0,4 - Administrative staff,0,1.79,21-25,121-130,9-12,141-150
Dropout,0,0.0,1,0,26,39 - Over 23 years old,0,1,9003 - Agronomy,6,1 - Secondary Education - 12th Year of Schooling or Eq.,168.6,0,6,1 – single,160.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,0.79,26-30,161-170,0-3,161-170
Graduate,6,14.833333333333334,1,0,18,17 - 2nd phase - general contingent,0,1,9773 - Journalism and Communication,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,127.7,1,6,1 – single,141.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-3.12,17-20,121-130,12-15,141-150
Dropout,2,13.5,1,0,24,44 - Technological specialization diploma holders,0,1,9130 - Equinculture,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,150.0,0,8,1 – single,130.0,9 - Unskilled Workers,0,2.02,21-25,151-160,12-15,131-140
Enrolled,1,15.0,1,0,18,1 - 1st phase - general contingent,0,1,9119 - Informatics Engineering,5,1 - Secondary Education - 12th Year of Schooling or Eq.,129.8,1,6,1 – single,142.0,4 - Administrative staff,0,1.74,17-20,121-130,15-18,141-150
Dropout,0,0.0,1,0,26,1 - 1st phase - general contingent,0,1,171 - Animation and Multimedia Design,0,1 - Secondary Education - 12th Year of Schooling or Eq.,135.6,1,0,1 – single,130.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,2.02,26-30,131-140,0-3,131-140
Dropout,3,14.75,1,0,27,39 - Over 23 years old,0,1,9254 - Tourism,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,100.0,0,10,1 – single,133.1,9 - Unskilled Workers,0,-0.92,26-30,101-110,12-15,131-140
Graduate,5,13.2,1,1,20,44 - Technological specialization diploma holders,0,1,9003 - Agronomy,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,140.0,1,6,1 – single,140.0,9 - Unskilled Workers,0,1.79,17-20,141-150,12-15,141-150
Dropout,1,14.0,1,0,19,1 - 1st phase - general contingent,0,1,9119 - Informatics Engineering,5,12 - Other - 11th Year of Schooling,124.1,1,10,1 – single,129.0,4 - Administrative staff,3,0.32,17-20,121-130,12-15,121-130
Dropout,4,15.5,1,1,18,1 - 1st phase - general contingent,0,1,9085 - Veterinary Nursing,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,131.6,0,9,1 – single,148.0,4 - Administrative staff,0,2.02,17-20,131-140,15-18,141-150
Graduate,7,12.365714285714288,1,0,18,1 - 1st phase - general contingent,0,1,9500 - Nursing,8,1 - Secondary Education - 12th Year of Schooling or Eq.,129.0,1,8,1 – single,143.0,4 - Administrative staff,0,1.74,17-20,121-130,12-15,141-150
Enrolled,5,13.25,1,0,19,17 - 2nd phase - general contingent,0,1,9670 - Advertising and Marketing Management,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,135.7,1,10,1 – single,128.0,9 - Unskilled Workers,0,1.74,17-20,131-140,12-15,121-130
Enrolled,7,11.857142857142858,1,0,34,43 - Change of course,0,1,9070 - Communication Design,12,37 - Basic education 1st cycle (4th/5th year) or equiv.,108.0,1,12,1 – single,100.0,9 - Unskilled Workers,0,0.32,31-40,101-110,9-12,101-110
Dropout,0,0.0,1,0,19,1 - 1st phase - general contingent,0,1,9238 - Social Service,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,110.8,1,0,1 – single,116.0,8 - Installation and Machine Operators and Assembly Workers,0,-0.92,17-20,111-120,0-3,111-120
Graduate,6,12.333333333333334,1,1,19,1 - 1st phase - general contingent,0,1,9773 - Journalism and Communication,6,1 - Secondary Education - 12th Year of Schooling or Eq.,124.5,0,9,1 – single,128.0,4 - Administrative staff,0,-3.12,17-20,121-130,12-15,121-130
Dropout,5,11.8,1,0,30,39 - Over 23 years old,0,1,9003 - Agronomy,12,2 - Higher Education - Bachelor's Degree,100.0,0,16,2 – married,120.0,"1 - Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",0,-4.06,26-30,101-110,9-12,121-130
Dropout,3,12.0,0,0,22,43 - Change of course,0,1,9773 - Journalism and Communication,5,1 - Secondary Education - 12th Year of Schooling or Eq.,123.8,0,8,1 – single,121.0,9 - Unskilled Workers,0,1.74,21-25,121-130,12-15,121-130
Dropout,3,11.333333333333334,0,0,19,17 - 2nd phase - general contingent,0,1,9147 - Management,5,3 - Higher Education - Degree,131.4,0,7,1 – single,137.0,"1 - Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",0,-4.06,17-20,131-140,9-12,131-140
Dropout,1,10.0,1,0,21,1 - 1st phase - general contingent,0,1,9147 - Management,5,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,118.5,0,10,1 – single,115.0,9 - Unskilled Workers,0,0.32,21-25,111-120,9-12,111-120
Dropout,0,0.0,0,0,22,1 - 1st phase - general contingent,0,1,171 - Animation and Multimedia Design,0,37 - Basic education 1st cycle (4th/5th year) or equiv.,122.0,1,0,1 – single,129.0,9 - Unskilled Workers,0,0.32,21-25,121-130,0-3,121-130
Enrolled,3,11.666666666666666,1,1,19,1 - 1st phase - general contingent,0,1,9254 - Tourism,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,122.9,0,12,1 – single,125.0,9 - Unskilled Workers,0,1.74,17-20,121-130,9-12,121-130
Enrolled,3,11.333333333333334,1,0,20,1 - 1st phase - general contingent,0,1,9238 - Social Service,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,118.7,0,13,1 – single,125.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,-4.06,17-20,111-120,9-12,121-130
Dropout,0,0.0,1,0,35,39 - Over 23 years old,0,1,9003 - Agronomy,6,3 - Higher Education - Degree,100.0,1,10,1 – single,133.1,2 - Specialists in Intellectual and Scientific Activities,0,0.79,31-40,101-110,0-3,131-140
Dropout,1,11.0,1,0,20,16 - 1st phase - special contingent (Madeira Island),0,1,9147 - Management,5,37 - Basic education 1st cycle (4th/5th year) or equiv.,135.9,1,7,1 – single,131.0,9 - Unskilled Workers,0,0.32,17-20,131-140,9-12,131-140
Graduate,5,12.8,1,0,21,1 - 1st phase - general contingent,0,1,9130 - Equinculture,5,Others,138.4,0,5,1 – single,133.1,4 - Administrative staff,0,0.32,21-25,131-140,12-15,131-140
Dropout,0,0.0,0,0,27,39 - Over 23 years old,1,1,9085 - Veterinary Nursing,5,34 - Unknown,128.2,0,5,1 – single,133.1,Others,0,0.32,26-30,121-130,0-3,131-140
Dropout,0,0.0,0,0,26,43 - Change of course,0,1,9773 - Journalism and Communication,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,107.4,1,15,1 – single,114.0,9 - Unskilled Workers,0,-3.12,26-30,101-110,0-3,111-120
Dropout,0,0.0,0,0,20,17 - 2nd phase - general contingent,0,1,9773 - Journalism and Communication,5,1 - Secondary Education - 12th Year of Schooling or Eq.,129.8,0,10,1 – single,127.0,3 - Intermediate Level Technicians and Professions,0,1.74,17-20,121-130,0-3,121-130
Dropout,5,11.6,0,0,28,39 - Over 23 years old,1,1,9003 - Agronomy,8,37 - Basic education 1st cycle (4th/5th year) or equiv.,100.0,0,17,1 – single,130.0,"6 - Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",1,-4.06,26-30,101-110,9-12,131-140
Graduate,6,13.666666666666666,1,0,19,1 - 1st phase - general contingent,0,1,9773 - Journalism and Communication,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,113.0,1,6,1 – single,121.0,9 - Unskilled Workers,0,2.02,17-20,111-120,12-15,121-130
Dropout,0,0.0,0,0,47,43 - Change of course,0,1,9991 - Management (evening attendance),5,37 - Basic education 1st cycle (4th/5th year) or equiv.,107.0,0,5,1 – single,120.0,9 - Unskilled Workers,0,-1.7,41-50,101-110,0-3,121-130
Dropout,5,12.4,0,0,55,39 - Over 23 years old,0,1,9773 - Journalism and Communication,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,130.0,0,9,4 – divorced,120.0,4 - Administrative staff,0,1.74,51+,131-140,12-15,121-130
Dropout,2,11.0,1,0,39,43 - Change of course,0,1,9003 - Agronomy,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,120.0,1,8,1 – single,120.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-0.92,31-40,121-130,9-12,121-130
Dropout,12,10.666666666666666,1,0,35,1 - 1st phase - general contingent,1,1,9003 - Agronomy,12,37 - Basic education 1st cycle (4th/5th year) or equiv.,120.5,1,12,2 – married,120.0,9 - Unskilled Workers,0,-4.06,31-40,121-130,9-12,121-130
Dropout,0,0.0,0,0,32,39 - Over 23 years old,0,1,9238 - Social Service,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,120.5,0,12,1 – single,133.1,0 - Student,0,0.32,31-40,121-130,0-3,131-140
Graduate,6,16.666666666666668,1,0,20,1 - 1st phase - general contingent,0,1,9773 - Journalism and Communication,6,3 - Higher Education - Degree,137.0,1,6,1 – single,124.0,2 - Specialists in Intellectual and Scientific Activities,0,3.51,17-20,131-140,15-18,121-130
Graduate,5,13.2,1,0,36,39 - Over 23 years old,0,1,9254 - Tourism,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,115.0,0,9,1 – single,150.0,9 - Unskilled Workers,0,-1.7,31-40,111-120,12-15,151-160
Graduate,5,14.375,1,1,34,39 - Over 23 years old,1,1,9991 - Management (evening attendance),5,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,142.7,0,14,1 – single,133.1,9 - Unskilled Workers,5,-0.92,31-40,141-150,12-15,131-140
Dropout,0,0.0,1,0,21,1 - 1st phase - general contingent,0,1,9670 - Advertising and Marketing Management,5,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,116.7,1,5,1 – single,116.0,0 - Student,0,-3.12,21-25,111-120,0-3,111-120
Dropout,1,11.0,1,1,42,43 - Change of course,0,1,9991 - Management (evening attendance),5,37 - Basic education 1st cycle (4th/5th year) or equiv.,136.1,0,14,1 – single,133.1,3 - Intermediate Level Technicians and Professions,0,0.79,41-50,131-140,9-12,131-140
Dropout,4,11.75,1,0,25,39 - Over 23 years old,0,1,9003 - Agronomy,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,134.3,0,13,1 – single,133.1,9 - Unskilled Workers,0,1.79,21-25,131-140,9-12,131-140
Dropout,0,0.0,1,1,18,18 - 3rd phase - general contingent,0,1,9773 - Journalism and Communication,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,153.0,1,0,1 – single,167.0,"6 - Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",0,3.51,17-20,151-160,0-3,161-170
Graduate,6,12.833333333333334,1,1,18,1 - 1st phase - general contingent,0,1,9773 - Journalism and Communication,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,132.0,0,6,1 – single,140.0,9 - Unskilled Workers,0,-1.7,17-20,131-140,12-15,141-150
Graduate,6,11.857142857142858,1,0,19,1 - 1st phase - general contingent,0,1,9238 - Social Service,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,129.6,1,7,1 – single,124.0,9 - Unskilled Workers,0,0.32,17-20,121-130,9-12,121-130
Dropout,2,11.5,0,0,34,43 - Change of course,1,1,9085 - Veterinary Nursing,6,3 - Higher Education - Degree,105.0,0,8,1 – single,110.0,4 - Administrative staff,0,0.79,31-40,101-110,9-12,111-120
Dropout,0,0.0,1,0,20,17 - 2nd phase - general contingent,0,1,9773 - Journalism and Communication,6,1 - Secondary Education - 12th Year of Schooling or Eq.,130.8,0,12,1 – single,150.0,4 - Administrative staff,0,1.74,17-20,131-140,0-3,151-160
Dropout,0,0.0,1,0,20,1 - 1st phase - general contingent,0,1,9500 - Nursing,7,37 - Basic education 1st cycle (4th/5th year) or equiv.,119.7,0,7,1 – single,123.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,0.79,17-20,111-120,0-3,121-130
Graduate,7,14.54,1,0,21,17 - 2nd phase - general contingent,0,1,9500 - Nursing,8,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,132.5,0,8,1 – single,152.0,4 - Administrative staff,0,1.74,21-25,131-140,12-15,151-160
Graduate,4,13.0,1,0,19,44 - Technological specialization diploma holders,0,1,9003 - Agronomy,6,1 - Secondary Education - 12th Year of Schooling or Eq.,130.0,1,14,1 – single,130.0,3 - Intermediate Level Technicians and Professions,0,1.79,17-20,131-140,12-15,131-140
Dropout,3,11.666666666666666,0,0,31,39 - Over 23 years old,1,1,9085 - Veterinary Nursing,5,1 - Secondary Education - 12th Year of Schooling or Eq.,120.0,0,12,1 – single,133.1,4 - Administrative staff,1,-3.12,31-40,121-130,9-12,131-140
Graduate,5,14.333333333333334,1,0,21,17 - 2nd phase - general contingent,0,1,9670 - Advertising and Marketing Management,6,1 - Secondary Education - 12th Year of Schooling or Eq.,150.0,0,9,1 – single,133.1,4 - Administrative staff,0,2.02,21-25,151-160,12-15,131-140
Graduate,5,11.666666666666666,1,1,20,1 - 1st phase - general contingent,0,1,9147 - Management,5,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,115.6,0,7,1 – single,124.0,9 - Unskilled Workers,0,0.79,17-20,111-120,9-12,121-130
Graduate,6,12.733333333333334,1,0,22,43 - Change of course,0,1,9500 - Nursing,7,1 - Secondary Education - 12th Year of Schooling or Eq.,119.1,0,7,1 – single,119.1,4 - Administrative staff,0,0.32,21-25,111-120,12-15,111-120
Dropout,0,0.0,0,0,19,1 - 1st phase - general contingent,0,1,9070 - Communication Design,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,123.5,1,6,1 – single,128.0,3 - Intermediate Level Technicians and Professions,0,-3.12,17-20,121-130,0-3,121-130
Dropout,0,0.0,0,0,41,39 - Over 23 years old,1,1,9130 - Equinculture,5,1 - Secondary Education - 12th Year of Schooling or Eq.,120.0,1,5,1 – single,133.1,90 - Other Situation,5,-1.7,41-50,121-130,0-3,131-140
Dropout,0,0.0,1,0,27,43 - Change of course,0,1,9500 - Nursing,7,34 - Unknown,110.0,1,7,1 – single,133.1,0 - Student,6,0.32,26-30,111-120,0-3,131-140
Dropout,7,13.771428571428572,1,0,19,17 - 2nd phase - general contingent,0,0,9500 - Nursing,8,1 - Secondary Education - 12th Year of Schooling or Eq.,131.4,0,8,1 – single,145.0,4 - Administrative staff,0,0.79,17-20,131-140,12-15,141-150
Graduate,8,14.2,1,1,20,18 - 3rd phase - general contingent,0,0,9500 - Nursing,8,1 - Secondary Education - 12th Year of Schooling or Eq.,126.8,1,8,1 – single,141.0,4 - Administrative staff,0,-3.12,17-20,121-130,12-15,141-150
Graduate,6,13.55,1,1,19,43 - Change of course,0,0,9500 - Nursing,7,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,118.9,1,7,1 – single,118.9,"5 - Personal Services, Security and Safety Workers and Sellers",0,0.32,17-20,111-120,12-15,111-120
Graduate,5,11.166666666666666,1,0,35,39 - Over 23 years old,0,0,9991 - Management (evening attendance),5,37 - Basic education 1st cycle (4th/5th year) or equiv.,160.0,0,6,2 – married,160.0,9 - Unskilled Workers,0,-4.06,31-40,161-170,9-12,161-170
Graduate,6,15.285714285714286,1,0,22,17 - 2nd phase - general contingent,0,0,9773 - Journalism and Communication,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,115.9,1,7,1 – single,111.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,0.79,21-25,111-120,15-18,111-120
Graduate,6,15.0,1,1,20,1 - 1st phase - general contingent,0,0,9254 - Tourism,6,1 - Secondary Education - 12th Year of Schooling or Eq.,109.3,1,6,1 – single,111.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,2.02,17-20,101-110,15-18,111-120
Dropout,4,10.857142857142858,0,0,18,1 - 1st phase - general contingent,1,0,9670 - Advertising and Marketing Management,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,113.9,1,9,1 – single,123.0,9 - Unskilled Workers,0,1.74,17-20,111-120,9-12,121-130
Graduate,4,11.25,1,1,18,1 - 1st phase - general contingent,0,0,9238 - Social Service,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,121.8,1,9,1 – single,133.0,9 - Unskilled Workers,0,1.79,17-20,121-130,9-12,131-140
Graduate,7,15.675714285714283,1,0,30,7 - Holders of other higher courses,0,0,9500 - Nursing,8,1 - Secondary Education - 12th Year of Schooling or Eq.,140.0,0,8,1 – single,140.0,9 - Unskilled Workers,0,1.74,26-30,141-150,15-18,141-150
Graduate,6,12.0,1,1,18,18 - 3rd phase - general contingent,1,0,9238 - Social Service,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,114.7,0,8,1 – single,122.0,9 - Unskilled Workers,0,2.02,17-20,111-120,12-15,121-130
Enrolled,5,15.0,1,1,20,1 - 1st phase - general contingent,0,0,9254 - Tourism,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,120.0,1,7,1 – single,128.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,1.79,17-20,121-130,15-18,121-130
Enrolled,4,10.75,1,1,19,1 - 1st phase - general contingent,0,0,9238 - Social Service,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,107.3,0,11,1 – single,108.0,9 - Unskilled Workers,0,1.79,17-20,101-110,9-12,101-110
Graduate,5,13.333333333333334,1,0,19,17 - 2nd phase - general contingent,0,0,9085 - Veterinary Nursing,5,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,136.2,0,7,1 – single,139.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,0.32,17-20,131-140,12-15,131-140
Graduate,8,14.125,1,1,21,1 - 1st phase - general contingent,0,0,9556 - Oral Hygiene,8,1 - Secondary Education - 12th Year of Schooling or Eq.,119.5,1,8,1 – single,130.0,3 - Intermediate Level Technicians and Professions,0,-4.06,21-25,111-120,12-15,131-140
Enrolled,6,12.5,1,0,21,18 - 3rd phase - general contingent,1,0,9853 - Basic Education,7,1 - Secondary Education - 12th Year of Schooling or Eq.,106.0,1,8,1 – single,133.1,Others,0,3.51,21-25,101-110,12-15,131-140
Enrolled,6,13.428571428571429,1,0,18,1 - 1st phase - general contingent,0,0,9670 - Advertising and Marketing Management,6,1 - Secondary Education - 12th Year of Schooling or Eq.,124.1,1,7,1 – single,130.0,9 - Unskilled Workers,0,3.51,17-20,121-130,12-15,131-140
Graduate,4,12.5,1,1,18,1 - 1st phase - general contingent,0,0,9147 - Management,5,1 - Secondary Education - 12th Year of Schooling or Eq.,133.2,1,7,1 – single,143.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-1.7,17-20,131-140,12-15,141-150
Dropout,2,10.5,0,0,35,39 - Over 23 years old,0,0,9085 - Veterinary Nursing,5,37 - Basic education 1st cycle (4th/5th year) or equiv.,110.0,0,11,4 – divorced,110.0,90 - Other Situation,1,-3.12,31-40,111-120,9-12,111-120
Enrolled,5,13.82,1,0,21,1 - 1st phase - general contingent,0,0,9500 - Nursing,7,1 - Secondary Education - 12th Year of Schooling or Eq.,114.8,1,9,1 – single,120.0,9 - Unskilled Workers,0,2.02,21-25,111-120,12-15,121-130
Graduate,6,13.183333333333332,1,1,18,1 - 1st phase - general contingent,0,1,9500 - Nursing,7,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,130.0,1,7,1 – single,140.0,9 - Unskilled Workers,0,0.32,17-20,131-140,12-15,141-150
Enrolled,0,0.0,1,0,22,17 - 2nd phase - general contingent,0,1,9070 - Communication Design,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,122.6,1,6,1 – single,125.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-3.12,21-25,121-130,0-3,121-130
Graduate,8,12.65125,1,1,20,17 - 2nd phase - general contingent,0,1,9500 - Nursing,8,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,133.5,1,8,1 – single,134.0,9 - Unskilled Workers,0,-4.06,17-20,131-140,12-15,131-140
Graduate,5,12.8,1,0,34,39 - Over 23 years old,0,0,9254 - Tourism,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,120.0,1,8,2 – married,130.0,4 - Administrative staff,0,-3.12,31-40,121-130,12-15,131-140
Enrolled,5,11.25,1,0,33,7 - Holders of other higher courses,0,0,9147 - Management,7,37 - Basic education 1st cycle (4th/5th year) or equiv.,120.0,0,13,2 – married,120.0,9 - Unskilled Workers,0,1.74,31-40,121-130,9-12,121-130
Graduate,6,13.9,1,1,22,1 - 1st phase - general contingent,0,0,9500 - Nursing,7,37 - Basic education 1st cycle (4th/5th year) or equiv.,137.3,1,7,1 – single,142.0,9 - Unskilled Workers,0,0.32,21-25,131-140,12-15,141-150
Enrolled,3,11.0,1,1,20,17 - 2nd phase - general contingent,0,0,9254 - Tourism,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,123.5,1,12,1 – single,127.0,9 - Unskilled Workers,0,0.32,17-20,121-130,9-12,121-130
Enrolled,4,11.857142857142858,1,0,35,39 - Over 23 years old,0,0,9147 - Management,5,37 - Basic education 1st cycle (4th/5th year) or equiv.,131.8,0,10,2 – married,140.0,"6 - Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",0,1.74,31-40,131-140,9-12,141-150
Dropout,3,10.666666666666666,0,0,39,39 - Over 23 years old,0,0,9147 - Management,5,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,130.0,1,15,2 – married,140.0,4 - Administrative staff,0,-3.12,31-40,131-140,9-12,141-150
Dropout,0,0.0,0,0,19,18 - 3rd phase - general contingent,0,0,9500 - Nursing,8,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,128.0,1,0,1 – single,142.0,9 - Unskilled Workers,0,2.02,17-20,121-130,0-3,141-150
Graduate,3,11.333333333333334,1,1,36,39 - Over 23 years old,0,0,9254 - Tourism,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,95.0,0,14,4 – divorced,120.0,9 - Unskilled Workers,0,1.74,31-40,<=100,9-12,121-130
Graduate,7,13.957142857142856,1,1,21,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,37 - Basic education 1st cycle (4th/5th year) or equiv.,116.0,1,8,1 – single,124.0,9 - Unskilled Workers,0,-1.7,21-25,111-120,12-15,121-130
Enrolled,3,13.666666666666666,1,0,22,1 - 1st phase - general contingent,0,0,9238 - Social Service,6,3 - Higher Education - Degree,136.7,1,13,1 – single,157.0,"1 - Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",0,-3.12,21-25,131-140,12-15,151-160
Graduate,6,15.285714285714286,1,1,42,39 - Over 23 years old,1,0,9238 - Social Service,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,107.5,0,7,2 – married,126.6,9 - Unskilled Workers,0,2.02,41-50,101-110,15-18,121-130
Dropout,0,0.0,1,0,34,39 - Over 23 years old,0,0,9119 - Informatics Engineering,5,37 - Basic education 1st cycle (4th/5th year) or equiv.,108.4,1,6,1 – single,110.0,90 - Other Situation,0,1.74,31-40,101-110,0-3,111-120
